ts,load_mbps
2022-04-25 00:00:00,34538331.0
2022-04-25 00:15:00,35594795.333333366
2022-04-25 00:30:00,36880175.33333332
2022-04-25 00:45:00,37298052.33333331
2022-04-25 01:00:00,38423459.0
2022-04-25 01:15:00,39213366.33333333
2022-04-25 01:30:00,40430588.6666667
2022-04-25 01:45:00,40513097.333333306
2022-04-25 02:00:00,40669156.000000015
2022-04-25 02:15:00,40569569.00000001
2022-04-25 02:30:00,40789446.66666665
2022-04-25 02:45:00,40842933.99999998
2022-04-25 03:00:00,40138517.333333306
2022-04-25 03:15:00,39415952.00000001
2022-04-25 03:30:00,37580214.33333332
2022-04-25 03:45:00,36991535.000000015
2022-04-25 04:00:00,35755493.66666665
2022-04-25 04:15:00,34390388.3333333
2022-04-25 04:30:00,32311837.666666668
2022-04-25 04:45:00,31549886.99999999
2022-04-25 05:00:00,29011804.333333343
2022-04-25 05:15:00,27953878.333333336
2022-04-25 05:30:00,27296926.99999999
2022-04-25 05:45:00,26662382.33333333
2022-04-25 06:00:00,24340842.000000007
2022-04-25 06:15:00,23674147.666666668
2022-04-25 06:30:00,22328518.66666669
2022-04-25 06:45:00,21567520.66666667
2022-04-25 07:00:00,20153694.0
2022-04-25 07:15:00,19513384.666666668
2022-04-25 07:30:00,18909214.333333343
2022-04-25 07:45:00,18613349.00000001
2022-04-25 08:00:00,17337723.999999996
2022-04-25 08:15:00,16787012.333333325
2022-04-25 08:30:00,16279890.666666664
2022-04-25 08:45:00,16234433.666666664
2022-04-25 09:00:00,16234301.999999994
2022-04-25 09:15:00,15916633.333333334
2022-04-25 09:30:00,15862588.333333332
2022-04-25 09:45:00,16159687.999999996
2022-04-25 10:00:00,16145185.666666655
2022-04-25 10:15:00,15957524.333333336
2022-04-25 10:30:00,15868947.333333345
2022-04-25 10:45:00,16188452.333333334
2022-04-25 11:00:00,16871799.666666668
2022-04-25 11:15:00,17163923.666666653
2022-04-25 11:30:00,17913468.333333354
2022-04-25 11:45:00,18452919.66666667
2022-04-25 12:00:00,19003138.33333335
2022-04-25 12:15:00,19217879.999999996
2022-04-25 12:30:00,20335930.999999996
2022-04-25 12:45:00,20758112.66666669
2022-04-25 13:00:00,21085162.33333333
2022-04-25 13:15:00,21316714.333333347
2022-04-25 13:30:00,22117561.0
2022-04-25 13:45:00,22705896.66666668
2022-04-25 14:00:00,23674987.666666657
2022-04-25 14:15:00,24076727.333333332
2022-04-25 14:30:00,25135053.333333347
